2007-10-26,7.89,8.34,7.80,8.33,39285736,402506560.00
2007-10-29,8.55,8.83,8.45,8.62,60716744,661621760.00
2007-10-30,8.64,8.79,8.34,8.64,41793132,454485056.00
2007-10-31,8.73,9.39,8.64,9.25,112449696,1274197504.00
2007-11-01,9.21,9.40,9.05,9.16,110345568,1284949888.00
2007-11-02,8.97,9.47,8.89,9.37,103003944,1200270208.00
2007-11-05,9.44,9.54,9.09,9.22,89572752,1052391424.00
2007-11-06,9.14,9.26,8.80,8.84,40903692,462992352.00
2007-11-07,8.89,9.12,8.81,9.09,35250028,398584512.00
2007-11-08,9.01,9.07,8.51,8.55,41941456,464436448.00
2007-11-09,8.44,8.62,8.22,8.48,36076812,384470816.00
2007-11-12,8.26,8.38,7.95,8.25,31934536,330983040.00
2007-11-13,8.36,8.52,8.06,8.16,25025806,262597648.00
2007-11-14,8.25,8.48,8.18,8.47,22969826,242194384.00
2007-11-15,8.46,8.57,8.25,8.37,20817328,220959248.00
2007-11-16,8.29,8.31,8.12,8.24,18296630,189748272.00
2007-11-19,8.25,8.30,8.18,8.30,15223608,159017392.00
2007-11-20,8.29,8.41,8.12,8.34,21115360,220892768.00
2007-11-21,8.34,8.39,8.15,8.17,17627208,183996480.00
2007-11-22,8.01,8.11,7.86,7.89,24839268,250717760.00
2007-11-23,7.84,8.05,7.80,8.04,14348560,143730176.00
2007-11-26,8.14,8.19,7.89,7.90,15344276,155951696.00
2007-11-27,7.89,8.04,7.84,7.90,10515685,105792944.00
2007-11-28,7.91,8.00,7.74,7.75,14138014,140934416.00
2007-11-29,7.87,8.12,7.77,8.03,24282580,245448240.00
2007-11-30,8.07,8.09,7.87,7.89,13721341,138420048.00
2007-12-03,7.89,8.04,7.80,7.98,12721943,127944584.00
2007-12-04,7.99,8.14,7.98,8.01,11932291,121694512.00
2007-12-05,8.04,8.14,7.97,8.13,18238742,186471296.00
2007-12-06,8.14,8.17,8.00,8.09,12008654,122765912.00
2007-12-07,8.07,8.12,7.89,8.11,20851652,212176112.00
2007-12-10,7.89,8.14,7.86,8.14,32959080,335286944.00
2007-12-11,8.25,8.28,8.04,8.15,41170848,425120064.00
2007-12-12,8.13,8.13,7.95,7.99,23773412,241505760.00
2007-12-13,7.93,8.04,7.87,7.88,26772756,268871424.00
2007-12-14,7.84,7.94,7.78,7.93,19569516,194936832.00
2007-12-17,7.90,7.90,7.64,7.64,33794368,331344800.00
2007-12-18,7.64,7.74,7.55,7.67,12916074,125487088.00
2007-12-19,7.74,7.92,7.69,7.90,19297980,190788560.00
2007-12-20,7.97,7.99,7.84,7.96,26267760,264070256.00
2007-12-21,7.89,8.04,7.84,7.96,20733156,208681232.00
2007-12-24,7.97,8.09,7.94,8.04,31985352,324704832.00
2007-12-25,8.04,8.07,7.93,7.94,20974892,212136864.00
2007-12-26,7.95,8.04,7.86,7.97,29613600,297404512.00
2007-12-27,7.97,8.14,7.89,8.09,46416376,473057344.00
2007-12-28,8.09,8.14,7.99,8.00,35710460,364296352.00
2008-01-02,8.04,8.18,8.02,8.13,32962128,338715616.00
2008-01-03,8.14,8.14,7.97,8.14,36819724,374968960.00
2008-01-04,8.14,8.27,8.12,8.17,38200392,396385600.00
2008-01-07,8.17,8.28,8.09,8.21,40032152,414813376.00
2008-01-08,8.26,8.43,8.14,8.24,56187544,590694464.00
2008-01-09,8.22,8.28,8.10,8.21,33405294,345475680.00
2008-01-10,8.22,8.27,8.14,8.17,43239304,446895424.00
2008-01-11,8.20,8.46,8.20,8.43,68780400,724889024.00
2008-01-14,8.47,8.51,8.32,8.39,41910412,444972960.00
2008-01-15,8.64,8.77,8.39,8.49,54094496,584269440.00
2008-01-16,8.43,8.43,8.19,8.19,35405840,370812480.00
2008-01-17,8.12,8.25,7.89,8.05,33627904,342917344.00
2008-01-18,8.10,8.14,7.99,8.09,17692324,180570656.00
2008-01-21,8.09,8.09,7.62,7.69,29952228,298345600.00
2008-01-22,7.62,7.62,6.87,6.90,42406324,386838464.00
2008-01-23,6.91,7.21,6.91,7.19,23608840,213900464.00
2008-01-24,7.24,7.30,6.98,7.12,24202998,219777648.00
2008-01-25,7.10,7.35,6.97,7.26,20573554,188099056.00
2008-01-28,7.22,7.22,6.63,6.65,23416408,206273968.00
2008-01-29,6.77,6.98,6.64,6.98,14561814,126858216.00
2008-01-30,7.01,7.11,6.75,6.90,12291142,108974528.00
2008-01-31,6.92,7.04,6.80,6.87,9458285,83800176.00
2008-02-01,6.93,7.02,6.64,6.87,11849497,103488776.00
2008-02-04,7.06,7.44,6.97,7.44,26363456,244511872.00
2008-02-05,7.46,7.46,7.21,7.36,20377154,189758656.00
2008-02-13,7.24,7.28,7.10,7.14,8569300,78431312.00
2008-02-14,7.16,7.26,7.14,7.19,6410555,58775048.00
2008-02-15,7.19,7.19,6.89,7.04,9597060,85920608.00
2008-02-18,7.08,7.21,7.06,7.11,10438126,94751896.00
2008-02-19,7.11,7.24,7.06,7.22,13107902,119384120.00
2008-02-20,7.24,7.25,6.95,6.99,20097860,180823408.00
2008-02-21,6.93,7.01,6.84,6.94,12489343,110463264.00
2008-02-22,6.95,6.95,6.65,6.74,17917122,154878112.00
2008-02-25,6.74,6.81,6.64,6.66,12175094,104274976.00
2008-02-26,6.82,6.89,6.64,6.83,9836163,84991048.00
2008-02-27,6.84,7.04,6.79,6.94,10723761,95236880.00
2008-02-28,7.04,7.04,6.84,6.86,7867540,69282496.00
2008-02-29,6.86,6.96,6.82,6.93,7556579,66650728.00
2008-03-03,6.89,7.02,6.79,6.98,13000980,115108024.00
2008-03-04,6.98,6.99,6.74,6.77,18564648,162596208.00
2008-03-05,6.77,6.87,6.68,6.74,12543471,108155720.00
2008-03-06,6.75,7.03,6.64,6.82,19429268,169460032.00
2008-03-07,6.74,6.84,6.72,6.75,9354249,80910656.00
2008-03-10,6.75,6.76,6.55,6.56,14444231,122874896.00
2008-03-11,6.54,6.57,6.40,6.54,10456779,87104200.00
2008-03-12,6.69,6.72,6.29,6.32,14878814,123046064.00
2008-03-13,6.29,6.32,6.06,6.12,14568758,115726232.00
2008-03-14,6.14,6.20,6.05,6.13,7224068,56841348.00
2008-03-17,6.07,6.16,5.89,5.89,9792168,75819536.00
2008-03-18,5.89,6.02,5.29,5.43,15868457,115614072.00
2008-03-19,5.48,5.72,5.44,5.57,11806634,85300264.00
2008-03-20,5.55,5.76,5.31,5.69,13555080,97165624.00
2008-03-21,5.73,5.76,5.58,5.64,10057070,73736424.00
2008-03-24,5.71,5.75,5.43,5.44,9093886,65722644.00
2008-03-25,5.39,5.55,5.32,5.53,7633192,54214952.00
2008-03-26,5.60,5.73,5.54,5.59,8402674,61409120.00
2008-03-27,5.39,5.54,5.25,5.26,10915681,75937696.00
2008-03-28,5.25,5.62,5.16,5.58,19149174,135872320.00
2008-03-31,5.46,5.59,5.39,5.48,8784172,62545968.00
2008-04-01,5.47,5.59,5.28,5.29,11310000,79304832.00
2008-04-02,5.40,5.71,5.30,5.54,24945264,179358864.00
2008-04-03,5.51,5.68,5.36,5.67,15541531,112432600.00
2008-04-07,5.62,5.88,5.52,5.85,20334184,151387008.00
2008-04-08,5.80,5.90,5.72,5.80,17105794,127996552.00
2008-04-09,5.79,5.79,5.45,5.46,13513561,98497568.00
2008-04-10,5.43,5.53,5.39,5.49,8581952,60797136.00
2008-04-11,5.56,5.59,5.48,5.55,6694411,48046012.00
2008-04-14,5.46,5.48,5.23,5.25,10769872,74847136.00
2008-04-15,5.26,5.33,5.07,5.29,7762882,52649560.00
2008-04-16,5.30,5.34,5.14,5.14,5014115,34076768.00
2008-04-17,5.14,5.23,4.80,4.82,11468551,74682816.00
2008-04-18,4.84,4.87,4.56,4.59,10804697,66330032.00
2008-04-21,4.97,5.04,4.64,4.67,10035329,63238968.00
2008-04-22,4.64,4.90,4.44,4.84,15390859,93732864.00
2008-04-23,4.76,5.03,4.72,4.97,19108012,122971968.00
2008-04-24,5.45,5.51,5.22,5.51,55384944,389743776.00
2008-04-25,5.45,5.52,5.30,5.32,37422544,263145872.00
2008-04-28,5.26,5.37,5.16,5.23,23547524,161201584.00
2008-04-29,5.24,5.35,5.20,5.23,15608220,106973744.00
2008-04-30,5.30,5.55,5.29,5.54,45470144,321826240.00
2008-05-05,5.64,5.68,5.49,5.59,29150480,210523808.00
2008-05-06,5.58,5.58,5.44,5.51,21697256,154803856.00
2008-05-07,5.48,5.54,5.23,5.24,19249260,134944176.00
2008-05-08,5.18,5.30,5.14,5.30,12874784,87617248.00
2008-05-09,5.34,5.38,5.10,5.19,16235136,110472336.00
2008-05-12,5.13,5.29,5.03,5.21,14954239,100536256.00
2008-05-13,5.05,5.15,5.01,5.04,14327342,94784736.00
2008-05-14,5.04,5.32,5.04,5.31,21109704,143421664.00
