code,name,A,B,C,D,E,F
600456,宝钛股份,505501184,22714903,20454451,0,0,0
600458,时代新材,510952557,12275015,7361919,7000,0,0
600459,贵研铂业,826899820,156810829,151193732,35000,35000,0
600460,士兰微,677516222,13643770,8922730,0,0,0
600467,好当家,439662473,25061139,16310554,0,0,0
600470,六国化工,594106520,30612967,27165469,0,0,0
600478,科力远,1290473083,23434873,13621697,69200,0,14000
600481,双良节能,672029107,86523435,58307815,0,0,0
600482,中国动力,1757639576,40293267,48718940,21955,0,0
600483,福能股份,324761368,10236089,7725187,4000,0,0
600486,扬农化工,495106999,23812813,26970563,0,0,0
600489,中金黄金,1788218939,174290337,159423926,660600,302600,12800
600490,鹏欣资源,1569582563,24414311,33010566,51500,26500,20000
600491,龙元建设,651442087,74135776,47633686,53200,9300,2700
600495,晋西车轴,637149248,23010549,32645095,6000,0,0
600497,驰宏锌锗,1086679155,66194300,86163303,128528,100,0
600498,烽火通信,567551618,43142118,40908922,20100,9200,38900
600499,科达洁能,998761082,19082262,29782363,0,0,0
600500,中化国际,764239645,174827382,138841264,5200,0,34800
600502,安徽水利,895932470,60377348,54548633,97700,81200,0
600503,华丽家族,1896569457,93069504,84976856,233790,102000,86700
600509,天富能源,386740893,11251708,10157935,0,0,0
600515,海航基础,512470294,16188054,15895861,34500,0,0
600516,方大炭素,1670311293,266722295,245530990,422700,136400,4900
600517,置信电气,707903982,36663307,29719663,30000,0,0
600518,康美药业,2528040035,60937843,90425995,460700,63600,15100
600519,贵州茅台,1623833890,53618114,69424151,125318,900,6200
600521,华海药业,423711492,27626530,13634820,30280,0,0
600522,中天科技,2019598877,100039316,72688299,64950,45000,0
600523,贵航股份,517321597,18294200,18279273,7000,0,0
600525,长园集团,717605460,0,6664075,7120,0,0
600526,菲达环保,632665569,29654521,33718193,41000,0,0
600528,中铁二局,834966192,67574241,39991652,265590,180000,32000
600535,天士力,941034098,46525446,29094945,41700,400,400
600536,中国软件,1305752083,49493436,50742663,65100,12100,10000
600537,亿晶光电,797374793,28966972,34352999,5000,0,47100
600543,莫高股份,356684141,29443080,31507948,9400,0,0
600545,新疆城建,299758095,0,19116,200,0,0
600547,山东黄金,2424454378,347785370,234989576,171900,9800,20300
600549,厦门钨业,1191219959,30241023,27838741,88860,38000,31940
600551,时代出版,491197999,25596394,14293867,3000,0,0
600557,康缘药业,382356267,12099482,25528958,10000,2000,7700
600559,老白干酒,240358330,12232148,5125473,6450,0,0
600563,法拉电子,707666571,36296143,31965638,0,0,0
600566,济川药业,153965285,25779818,16722829,0,0,0
600568,中珠医疗,895517086,24601388,17612561,25800,0,0
600570,恒生电子,3558741069,143329249,171897355,167682,11100,12600
600572,康恩贝,395185252,56306695,55503821,52400,800,0
600575,皖江物流,233021259,8215775,6704199,0,0,0
600578,京能电力,331809246,1964818,1930572,165300,7000,29700
600580,卧龙电气,545856317,10188263,10420669,30000,7000,0
600582,天地科技,468297626,24482279,13216898,11800,0,0
600583,海油工程,909610062,13043300,21069070,130100,6000,400
600584,长电科技,1007257205,91554466,80716473,42100,1800,30000
600585,海螺水泥,906662932,39434347,7458602,277084,7900,8800
600587,新华医疗,361720036,14381273,17986828,0,0,0
600588,用友网络,1780406036,26215841,32091391,496102,19399,275312
600592,龙溪股份,518015377,34164519,45980557,0,0,0
600594,益佰制药,665961032,18964789,13216369,18000,17500,0
600595,中孚实业,395749564,13363785,13135677,0,0,0
600596,新安股份,597837983,36345678,31944208,0,0,0
600597,光明乳业,589973902,7601667,6170170,1300,0,0
600600,青岛啤酒,373813704,8609901,6887431,31200,0,16300
600601,方正科技,1008195726,46380832,51359253,329975,329975,0
600604,市北高新,324556218,6743622,9613092,0,0,0
600606,绿地控股,1847820062,150118614,106596199,35200,300,500
600609,金杯汽车,478945701,24439366,34441021,39000,0,0
