name,ticktime,price,volume,prev_price,kind
远兴能源,15:00:20,5.44,509882,5.44,U
中山公用,15:00:20,14.32,900650,14.31,U
东北证券,15:00:20,17.79,1079104,17.78,E
建新矿业,15:00:20,10.9,734486,10.89,E
宝新能源,15:00:20,10.37,295800,10.36,E
亚太实业,15:00:20,12.28,1009400,12.28,E
华泽钴镍,15:00:20,21.23,682744,21.23,E
沈阳化工,15:00:20,7.89,624100,7.89,E
双环科技,15:00:20,8.7,1330900,8.7,E
黑芝麻,15:00:20,15.14,231724,15.14,E
新能泰山,15:00:20,9.73,574800,9.73,E
西安饮食,15:00:20,9.28,924152,9.28,E
湖南发展,15:00:20,20.29,184100,20.29,U
美锦能源,15:00:20,12.22,551400,12.22,E
京东方Ａ,15:00:20,3.04,3829184,3.03,E
鲁  泰Ａ,15:00:20,14.31,346800,14.31,E
罗 牛 山,15:00:20,7.95,733752,7.96,E
中航动控,15:00:20,33.14,278532,33.1,E
漳州发展,15:00:20,6.47,557208,6.46,E
山西三维,15:00:20,10.36,434100,10.36,E
新华制药,15:00:20,12.67,172000,12.67,E
中色股份,15:00:20,15.74,460166,15.75,E
中百集团,15:00:20,8.5,497102,8.46,E
斯太尔,15:00:20,20.81,621800,20.8,E
本钢板材,15:00:20,6.5,842872,6.5,E
西藏矿业,15:00:20,27.85,963076,27.85,E
通化金马,15:00:20,17.88,261400,17.88,E
中航飞机,15:00:20,24.96,452464,24.94,E
中核科技,15:00:20,34.04,344860,34.03,E
北新建材,15:00:20,12.0,435636,11.99,E
万年青,15:00:20,8.8,1018900,8.8,E
盐湖股份,15:00:20,24.01,354100,23.97,E
太原刚玉,15:00:20,13.93,596250,13.93,E
中国武夷,15:00:20,23.17,147000,23.17,E
陕西金叶,15:00:20,13.34,311300,13.33,E
京山轻机,15:00:20,15.91,294300,15.9,E
山东海化,15:00:20,7.23,311100,7.23,U
启迪桑德,15:00:20,39.85,199000,39.8,U
五矿稀土,15:00:20,21.57,595308,21.57,E
秦川机床,15:00:20,14.98,207875,14.98,E
承德露露,15:00:20,16.71,379800,16.7,E
华茂股份,15:00:20,8.9,352128,8.9,E
冀东装备,15:00:20,15.21,201150,15.21,E
五 粮 液,15:00:20,25.54,510292,25.54,E
海印股份,15:00:20,8.51,981760,8.5,E
三湘股份,15:00:20,12.38,309708,12.38,E
安凯客车,15:00:20,9.58,346240,9.58,E
吉电股份,15:00:20,9.63,631132,9.62,E
云南铜业,15:00:20,14.25,2167760,14.25,E
大连国际,15:00:20,17.51,149300,17.51,D
华联股份,15:00:20,5.8,2582352,5.82,E
同力水泥,15:00:20,14.97,100500,14.97,E
中鼎股份,15:00:20,23.58,414714,23.57,E
津滨发展,15:00:20,5.49,632400,5.49,E
鞍钢股份,15:00:20,4.83,863100,4.83,U
赣能股份,15:00:20,11.3,146000,11.3,D
现代投资,15:00:20,8.33,353900,8.32,E
电广传媒,15:00:20,28.35,769200,28.32,E
海信科龙,15:00:20,10.0,344900,9.99,E
佳电股份,15:00:20,13.53,206700,13.53,E
河北宣工,15:00:20,17.85,273013,17.83,E
福星股份,15:00:20,15.69,586100,15.69,E
中粮生化,15:00:20,15.74,961200,15.74,E
中 关 村,15:00:20,12.68,617398,12.68,E
四川双马,15:00:20,8.14,329832,8.13,E
紫光股份,15:00:20,102.8,288052,102.8,E
凯迪生态,15:00:20,13.75,303900,13.75,E
新乡化纤,15:00:20,5.2,418300,5.2,E
东方能源,15:00:20,23.92,186800,23.92,E
东方钽业,15:00:20,14.6,980900,14.62,E
佛塑科技,15:00:20,13.0,1466304,12.99,E
银泰资源,15:00:20,14.06,428014,14.03,E
中弘股份,15:00:20,4.19,5019312,4.18,E
闽东电力,15:00:20,10.55,247200,10.52,U
中国中期,15:00:20,29.15,367600,29.14,E
隆平高科,15:00:20,20.36,319900,20.36,E
新 和 成,15:00:20,16.6,163408,16.6,E
鸿达兴业,15:00:20,26.46,284300,26.46,E
华邦健康,15:00:20,15.41,930496,15.41,E
永新股份,15:00:20,20.97,334100,20.97,D
东信和平,15:00:20,18.98,254760,18.98,E
科华生物,15:00:20,29.41,553700,29.37,E
海特高新,15:00:20,19.04,170750,19.02,E
苏宁云商,15:00:20,14.08,2865696,14.08,E
航天电器,15:00:20,26.68,198050,26.67,U
山东威达,15:00:20,15.75,435188,15.75,E
双鹭药业,15:00:20,33.96,545950,33.96,D
黔源电力,15:00:20,19.55,149300,19.55,E
登海种业,15:00:20,16.6,176500,16.59,E
国光电器,15:00:20,21.0,319800,20.98,U
三花股份,15:00:20,9.86,421464,9.84,E
同洲电子,15:00:20,13.05,503100,13.04,E
德美化工,15:00:20,13.48,295400,13.47,E
江山化工,15:00:20,8.84,856120,8.83,E
宏润建设,15:00:20,10.14,225952,10.14,E
远光软件,15:00:20,24.05,435000,24.04,E
华峰氨纶,15:00:20,6.65,395700,6.64,E
东华软件,15:00:20,25.17,1213400,25.17,E
景兴纸业,15:00:20,9.82,1260600,9.81,E
众和股份,15:00:20,30.26,3479960,30.15,E
凯瑞德,15:00:20,26.45,163600,26.45,E
软控股份,15:00:20,17.04,325400,17.04,U
国轩高科,15:00:20,37.15,201601,37.14,U
雪 莱 特,15:00:20,17.09,238900,17.07,E
中材科技,15:00:20,25.52,204200,25.51,U
金 螳 螂,15:00:20,19.3,627400,19.29,E
孚日股份,15:00:20,8.26,736252,8.25,E
海鸥卫浴,15:00:20,13.27,385950,13.26,E
中泰化学,15:00:20,9.74,791412,9.74,E
国脉科技,15:00:20,14.49,544484,14.48,E
生 意 宝,15:00:20,83.58,188640,83.57,E
南岭民爆,15:00:20,24.24,128200,24.23,U
山河智能,15:00:20,10.36,345450,10.37,E
海翔药业,15:00:20,20.59,196750,20.58,E
恒宝股份,15:00:20,25.4,867912,25.39,E
信隆实业,15:00:20,11.71,272800,11.71,E
沧州明珠,15:00:20,17.73,347548,17.73,E
罗平锌电,15:00:20,21.54,295000,21.53,E
中国海诚,15:00:20,18.55,118179,18.55,E
东港股份,15:00:20,45.69,145099,45.69,D
康强电子,15:00:20,21.84,200800,21.84,E
荣信股份,15:00:20,22.2,385400,22.19,E
银轮股份,15:00:20,20.6,318500,20.6,U
露天煤业,15:00:20,9.27,463000,9.25,E
沃尔核材,15:00:20,23.9,580324,23.9,E
广宇集团,15:00:20,10.25,514500,10.25,E
东南网架,15:00:20,12.61,331100,12.63,E
拓邦股份,15:00:20,25.1,181630,25.1,E
东华科技,15:00:20,20.63,161700,20.62,E
宏达高科,15:00:20,29.91,205228,29.9,E
荣盛发展,15:00:20,10.8,533000,10.8,E
北斗星通,15:00:20,51.83,94895,51.83,D
报 喜 鸟,15:00:20,7.49,837852,7.49,E
三特索道,15:00:20,29.3,101500,29.37,E
常铝股份,15:00:20,12.65,423800,12.63,U
悦心健康,15:00:20,14.82,250000,14.82,E
深圳惠程,15:00:20,11.87,543000,11.87,E
芭田股份,15:00:20,13.68,1106800,13.68,E
御银股份,15:00:20,11.16,934600,11.15,E
云海金属,15:00:20,17.6,453096,17.53,E
全 聚 德,15:00:20,22.97,114400,22.98,E
成飞集成,15:00:20,40.84,207644,40.84,U
山东如意,15:00:20,19.5,203300,19.42,E
方正电机,15:00:20,31.8,137100,31.79,E
证通电子,15:00:20,28.22,588808,28.21,E
嘉应制药,15:00:20,10.98,631754,10.95,E
东晶电子,15:00:20,17.5,316200,17.43,U
海亮股份,15:00:20,11.65,518000,11.65,E
飞马国际,15:00:20,23.45,367662,23.44,E
宏达新材,15:00:20,12.19,460100,12.08,U
南洋股份,15:00:20,13.44,368650,13.43,E
三全食品,15:00:20,11.5,176000,11.49,E
东华能源,15:00:20,26.31,154600,26.3,U
鱼跃医疗,15:00:20,40.4,133700,40.38,E
