code,name,trade,percent,category,tilte1,tilte2
002163,中航三鑫,10.27,-0.964,央企国资改革;工业用地;幕墙,,
000952,广济药业,20.42,-0.970,地方国资改革;医疗改革;医保,,
002305,南国置业,5.10,-0.971,央企国资改革;土地增值;武汉自贸区,,
000966,长源电力,6.11,-0.972,央企国资改革;电力改革;央企控股,,
600684,珠江实业,8.07,-0.982,地方国资改革;融资融券;土地增值,,
600960,渤海活塞,9.01,-0.989,地方国资改革;汽车制造概念;黄河三角,,
600764,中电广通,28.70,-1.000,央企国资改革;北京国资改革;央企控股,,
000985,大庆华科,34.60,-1.001,央企国资改革;油品改革;两桶油改革,,
600815,厦工股份,6.88,-1.007,地方国资改革;融资融券;机器人概念,,
600231,凌钢股份,2.87,-1.035,地方国资改革;油页岩;铁矿石,,
000899,赣能股份,9.49,-1.043,地方国资改革;融资融券;新能源,,
000762,西藏矿业,17.81,-1.056,地方国资改革;稀缺资源;融资融券,,
000756,新华制药,13.01,-1.065,地方国资改革;医疗改革;参股券商,,
000507,珠海港,6.47,-1.070,地方国资改革;珠海国资改革;广东自贸区,,
603167,渤海轮渡,10.97,-1.082,地方国资改革;航运;中韩自贸区,,
000923,河北宣工,20.90,-1.089,地方国资改革;铜;冬奥会,,
600123,兰花科创,8.05,-1.106,地方国资改革;稀缺资源;融资融券,,
600579,天华院,14.17,-1.117,央企国资改革;央企整合;轮胎利好,,
000957,中通客车,15.83,-1.124,地方国资改革;融资融券;汽车制造概念,,
603100,川仪股份,15.59,-1.141,地方国资改革;核电;高端装备,,
600778,友好集团,11.24,-1.143,地方国资改革;新疆旅游;干细胞,,
000722,湖南发展,15.54,-1.145,地方国资改革;湖南国资改革;供销社改革,,
600805,悦达投资,8.62,-1.147,地方国资改革;融资融券;一号文件,,
002376,新北洋,12.72,-1.166,地方国资改革;央视财经50;信息消费,,
000868,安凯客车,6.77,-1.168,地方国资改革;融资融券;转融券标的,,
600559,老白干酒,22.85,-1.168,地方国资改革;融资融券;沪港通概念,,
600378,天科股份,15.19,-1.171,央企国资改革;央企整合;可燃冰,,
600846,同济科技,9.27,-1.173,央企国资改革;融资融券;氢燃料电池,,
601717,郑煤机,7.51,-1.184,地方国资改革;融资融券;万达私有化,,
600133,东湖高新,8.27,-1.195,地方国资改革;武汉金改;武汉自贸区,,
600103,青山纸业,5.75,-1.203,地方国资改革;福建土改;人民币升值,,
000422,湖北宜化,8.14,-1.214,地方国资改革;融资融券;磷化工,,
600390,*ST金瑞,14.49,-1.227,央企国资改革;央企整合;参股券商,,
600798,宁波海运,5.59,-1.237,地方国资改革;航运;舟山新区,,
601008,连云港,5.56,-1.243,地方国资改革;东亚自贸;中韩自贸区,,
600203,福日电子,11.83,-1.252,地方国资改革;指纹技术;元器件,,
000767,漳泽电力,3.94,-1.253,地方国资改革;电力改革;央企整合,,
600677,航天通信,18.69,-1.268,央企国资改革;央企控股;央企整合,,
000705,浙江震元,13.23,-1.269,地方国资改革;参股金融;老字号,,
002349,精华制药,20.18,-1.272,地方国资改革;并购重组;结核病,,
600229,城市传媒,11.55,-1.282,地方国资改革;融资融券;蚂蚁金服概念,,
000528,柳工,7.69,-1.284,地方国资改革;融资融券;一带一路,,
000973,佛塑科技,7.69,-1.284,地方国资改革;广东国资改革;三旧改造,,
000552,靖远煤电,3.84,-1.285,地方国资改革;融资融券;转融券标的,,
600505,西昌电力,10.74,-1.287,央企国资改革;电力改革;西电东送,,
600698,湖南天雁,9.93,-1.292,央企国资改革;节能环保,,
600432,*ST吉恩,6.09,-1.297,地方国资改革;稀缺资源;锂电池,,
000950,*ST建峰,8.90,-1.330,地方国资改革;重庆国资改革;生物医药,,
000421,南京公用,8.87,-1.335,地方国资改革;义乌金改,,
002140,东华科技,15.40,-1.345,央企国资改革;融资融券;PPP概念,,
000830,鲁西化工,5.81,-1.358,地方国资改革;融资融券;证金持股,,
000922,佳电股份,13.76,-1.362,央企国资改革;央企整合;央企控股,,
600486,扬农化工,36.01,-1.370,地方国资改革;登革热;融资融券,,
603299,井神股份,15.83,-1.371,地方国资改革;食盐,,
600897,厦门空港,22.96,-1.375,地方国资改革;航空租赁;福建自贸区,,
600680,上海普天,35.47,-1.390,央企国资改革;央企整合;融资融券,,
002423,*ST中特,13.44,-1.394,央企国资改革;特钢;证金持股,,
600033,福建高速,3.52,-1.401,地方国资改革;融资融券;沪港通概念,,
600356,恒丰纸业,12.66,-1.402,地方国资改革;中朝贸易区;人民币升值,,
600461,洪城水业,7.67,-1.414,地方国资改革;水价改革;鄱阳湖经济区,,
600812,华北制药,6.25,-1.420,地方国资改革;医疗改革;甘肃地震,,
000905,厦门港务,10.41,-1.421,地方国资改革;融资融券;海峡西岸,,
600459,贵研铂业,23.53,-1.424,地方国资改革;稀缺资源;融资融券,,
600135,乐凯胶片,14.52,-1.426,央企国资改革;央企控股;融资融券,,
600713,南京医药,8.28,-1.429,地方国资改革;南京国资改革;医疗改革,,
002267,陕天然气,9.64,-1.432,地方国资改革;融资融券;转融券标的,,
601007,金陵饭店,14.37,-1.440,地方国资改革;南京国资改革;收入改革,,
600601,方正科技,4.70,-1.468,央企国资改革;依法治国概念;融资融券,,
600129,太极集团,17.33,-1.478,地方国资改革;重庆国资改革;甲型流感,,
600653,申华控股,4.00,-1.478,地方国资改革;融资融券;风电,,
600168,武汉控股,10.63,-1.483,地方国资改革;水价改革;融资融券,,
000833,贵糖股份,10.57,-1.491,地方国资改革;广东国资改革;低碳经济(C,,
000523,广州浪奇,11.83,-1.499,地方国资改革;广东国资改革;三旧改造,,
000731,四川美丰,10.32,-1.527,央企国资改革;两桶油改革;融资融券,,
600721,*ST百花,17.81,-1.548,地方国资改革;焦炭;涉矿,,
600458,时代新材,14.62,-1.549,央企国资改革;央企整合;融资融券,,
000779,三毛派神,20.31,-1.551,地方国资改革,,
600375,*ST星马,6.97,-1.554,地方国资改革;汽车制造概念;安徽城镇化,,
603069,海汽集团,18.03,-1.583,地方国资改革;新股与次新股,,
601101,昊华能源,6.83,-1.585,地方国资改革;国资整合;融资融券,,
002320,海峡股份,16.06,-1.593,地方国资改革;航运;西沙旅游,,
000428,华天酒店,7.40,-1.596,地方国资改革;湖南国资改革;收入改革,,
600624,复旦复华,8.63,-1.596,央企国资改革;融资融券;生物医药,,
600531,豫光金铅,8.58,-1.606,地方国资改革;稀缺资源;黄金,,
002401,中海科技,15.92,-1.607,央企国资改革;融资融券;临港地区,,
000090,天健集团,9.66,-1.629,地方国资改革;深圳国资改革;工业用地,,
600668,尖峰集团,16.85,-1.635,地方国资改革;融资融券;抗癌,,
000968,*ST煤气,10.74,-1.648,地方国资改革;焦煤;山西工业转型,,
002186,全聚德,22.62,-1.652,地方国资改革;春节概念;老字号,,
600822,上海物贸,19.65,-1.652,地方国资改革;上海国资改革;油品改革,,
002116,中国海诚,13.68,-1.654,央企国资改革;垃圾发电;机器人概念,,
000419,通程控股,8.31,-1.657,地方国资改革;湖南国资改革;金改,,
600199,金种子酒,9.47,-1.662,地方国资改革;收入改革;融资融券,,
600651,飞乐音响,10.64,-1.664,地方国资改革;上海国资改革;融资融券,,
600345,长江通信,23.01,-1.667,央企国资改革;宽带中国;东湖高新园区,,
600617,国新能源,10.57,-1.674,地方国资改革;证金持股;沪港通概念,,
600622,嘉宝集团,15.15,-1.687,地方国资改革;上海国资改革;稀有金属,,
300034,钢研高纳,20.23,-1.701,央企国资改革;融资融券;军工,,
000666,经纬纺机,21.86,-1.709,央企国资改革;北京国资改革;信托概念,,
600826,兰生股份,27.50,-1.716,地方国资改革;上海国资改革;融资融券,,
000652,泰达股份,5.71,-1.721,地方国资改革;体育产业;重金属治理,,
600333,长春燃气,7.98,-1.724,地方国资改革;融资融券;西气东输,,
600997,开滦股份,7.39,-1.729,地方国资改革;证金持股;动力煤,,
000420,吉林化纤,3.95,-1.741,地方国资改革;振兴东北;碳纤维,,
600982,宁波热电,5.64,-1.742,地方国资改革;电力改革;融资租赁,,
600829,人民同泰,15.17,-1.749,地方国资改革;医疗改革;振兴东北,,
600834,申通地铁,15.15,-1.751,地方国资改革;上海国资改革;公共交通,,
000521,美菱电器,6.71,-1.757,地方国资改革;保险重仓;合肥保税区,,
002507,涪陵榨菜,13.40,-1.760,地方国资改革;重庆国资改革;机构重仓,,
000498,山东路桥,8.35,-1.765,地方国资改革;青岛东方影都;一带一路,,
000554,泰山石油,12.20,-1.771,央企国资改革;油品改革;两桶油改革,,
600587,新华医疗,25.06,-1.803,地方国资改革;融资融券;机构重仓,,
000532,力合股份,18.50,-1.805,地方国资改革;珠海国资改革;无人机,,
601798,蓝科高新,13.58,-1.808,央企国资改革;油改气;央企控股,,
600530,交大昂立,7.58,-1.814,央企国资改革;健康中国;手足口病疫苗,,
000404,华意压缩,10.28,-1.815,地方国资改革;融资融券;地热能,,
600729,重庆百货,24.19,-1.826,地方国资改革;重庆国资改革;收入改革,,
600558,大西洋,5.89,-1.833,地方国资改革;核电;参股金融,,
000680,山推股份,5.88,-1.836,央企国资改革;地方国资改革;融资融券,,
600241,时代万恒,16.00,-1.841,地方国资改革;中朝贸易区;参股金融,,
600206,有研新材,10.10,-1.847,央企国资改革;北京国资改革;央企整合,,
000301,东方市场,5.31,-1.848,地方国资改革;金改;股权转让,,
000565,渝三峡A,12.65,-1.862,地方国资改革;重庆国资改革;金改,,
000610,西安旅游,14.73,-1.865,地方国资改革;收入改革;一带一路,,
000030,富奥股份,8.41,-1.867,地方国资改革;融资融券;汽车电子,,
600833,第一医药,20.91,-1.877,地方国资改革;药店;医保,,
000911,南宁糖业,17.18,-1.885,地方国资改革;三旧改造;秸秆综合利用,,
002060,粤水电,7.77,-1.894,地方国资改革;广东国资改革;水利,,
000720,新能泰山,6.71,-1.901,央企国资改革;并购重组;新能源,,
000920,南方汇通,14.70,-1.935,央企国资改革;央企控股;央企整合,,
002037,久联发展,17.51,-1.960,央企国资改革;军工;并购重组,,
600647,同达创业,42.84,-1.968,央企国资改革;上海国资改革;文化传媒,,
000859,国风塑业,5.95,-1.977,地方国资改革;工业用地;膜材料,,
000417,合肥百货,8.92,-1.978,地方国资改革;收入改革;金改,,
002820,桂发祥,42.99,-1.984,地方国资改革;电子商务;新股与次新股,,
000759,中百集团,9.87,-1.986,地方国资改革;收入改革;双十一,,
600159,大龙地产,5.43,-1.986,地方国资改革;北京国资改革;证金持股,,
002430,杭氧股份,8.82,-2.000,地方国资改革;碳交易;煤化工,,
002167,东方锆业,13.16,-2.010,央企国资改革;军工;中澳自贸区,,
